Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian toko,Edge Chromium 116,,,2023-09-06 09:14:53,2023-09-06 09:21:47,"6m - 53,805s",FAILED
,,,,,,,
Test Cases/T05 Pencarian Toko/TC-Cari Toko administrator-search-001,Edge Chromium 116,admin melakukan search Nama toko (pelapak),,2023-09-06 09:14:53,2023-09-06 09:15:25,"32,056s",PASSED
"callTestCase(findTestCase(""Login/TC-Login Admin-Success-001""), [""Username"":""admin"", ""Password"":""123admin123""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 09:14:54,2023-09-06 09:15:20,"26,138s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Master Market""))",Edge Chromium 116,,,2023-09-06 09:15:20,2023-09-06 09:15:20,"0,606s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Reseller  Pelapak""))",Edge Chromium 116,,,2023-09-06 09:15:20,2023-09-06 09:15:23,"2,965s",PASSED
"verifyElementPresent(findTestObject(""Menu pencarian Toko admin/Tittle Daftar Semua reseller""), 0)",Edge Chromium 116,,,2023-09-06 09:15:23,2023-09-06 09:15:24,"0,469s",PASSED
"setText(findTestObject(""Menu pencarian Toko admin/input_Search_form""), ""Kerupuk husna"")",Edge Chromium 116,,,2023-09-06 09:15:24,2023-09-06 09:15:25,"0,954s",PASSED
"verifyElementText(findTestObject(""Menu pencarian Toko admin/isi search admin Kerupuk husna""), ""Kerupuk husna"")",Edge Chromium 116,,,2023-09-06 09:15:25,2023-09-06 09:15:25,"0,497s",PASSED
,,,,,,,
Test Cases/T05 Pencarian Toko/TC-Cari Toko administrator-Search-002,Edge Chromium 116,admin Mencari Toko berdasarkan Nama Toko Asal,,2023-09-06 09:15:25,2023-09-06 09:15:53,"27,630s",PASSED
"callTestCase(findTestCase(""Login/TC-Login Admin-Success-001""), [""Username"":""admin"", ""Password"":""123admin123""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 09:15:26,2023-09-06 09:15:49,"22,632s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Master Market""))",Edge Chromium 116,,,2023-09-06 09:15:49,2023-09-06 09:15:49,"0,671s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Reseller  Pelapak""))",Edge Chromium 116,,,2023-09-06 09:15:49,2023-09-06 09:15:51,"1,840s",PASSED
"setText(findTestObject(""Menu pencarian Toko admin/input_Search_form""), ""abc12zs"")",Edge Chromium 116,,,2023-09-06 09:15:51,2023-09-06 09:15:52,"1,121s",PASSED
"verifyElementText(findTestObject(""Menu pencarian Toko admin/Massage Error""), ""No matching records found"")",Edge Chromium 116,,,2023-09-06 09:15:52,2023-09-06 09:15:53,"0,614s",PASSED
,,,,,,,
Test Cases/T05 Pencarian Toko/TC-Cari Toko administrator-Search-003,Edge Chromium 116,User Mencari toko tetapi tidak mengisi pada bagian search,,2023-09-06 09:15:53,2023-09-06 09:16:23,"30,587s",FAILED
"callTestCase(findTestCase(""Login/TC-Login Admin-Success-001""), [""Username"":""admin"", ""Password"":""123admin123""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 09:15:54,2023-09-06 09:16:18,"24,829s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Master Market""))",Edge Chromium 116,,,2023-09-06 09:16:18,2023-09-06 09:16:19,"0,640s",PASSED
