Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit Data Konsumen,Firefox 117.0,,,2023-10-05 07:59:49,2023-10-05 08:13:36,13m - 47.584s,FAILED
,,,,,,,
Test Cases/M08 Edit Data Konsumen/EDK-001,Firefox 117.0,Admin melihat Daftar Semua Konsumen,,2023-10-05 07:59:49,2023-10-05 08:00:22,32.778s,PASSED
"callTestCase(findTestCase(""Login/TC-Login Admin-Success-001""), [""Username"":""admin"", ""Password"":""123admin123""], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-05 07:59:49,2023-10-05 08:00:13,23.582s,PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Master Market""))",Firefox 117.0,,,2023-10-05 08:00:13,2023-10-05 08:00:14,1.133s,PASSED
"click(findTestObject(""Edit Data konsumen/Menu Konsumen""))",Firefox 117.0,,,2023-10-05 08:00:14,2023-10-05 08:00:16,1.811s,PASSED
"verifyElementPresent(findTestObject(""Edit Data konsumen/Tittle Daftar Semua Konsumen""), 0)",Firefox 117.0,,,2023-10-05 08:00:16,2023-10-05 08:00:22,5.798s,PASSED
,,,,,,,
Test Cases/M08 Edit Data Konsumen/EDK-002,Firefox 117.0,"Admin merubah data konsumen username udin pan 
berupa 
password 
Nama lengkap
Alamat email
No hp
Tanggal lahir 
Alamat user
",,2023-10-05 08:00:22,2023-10-05 08:01:26,1m - 4.116s,PASSED
"callTestCase(findTestCase(""M08 Edit Data Konsumen/EDK-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-05 08:00:22,2023-10-05 08:00:56,34.059s,PASSED
"click(findTestObject(""file baru/search""))",Firefox 117.0,,,2023-10-05 08:00:56,2023-10-05 08:00:57,0.785s,PASSED
"setText(findTestObject(""file baru/search""), ""udin pan"")",Firefox 117.0,,,2023-10-05 08:00:57,2023-10-05 08:00:58,0.677s,PASSED
"click(findTestObject(""file baru/buttom edit""))",Firefox 117.0,,,2023-10-05 08:00:58,2023-10-05 08:01:04,5.699s,PASSED
"verifyElementPresent(findTestObject(""Edit Data konsumen/tittle Edit Data Konsumen""), 0)",Firefox 117.0,,,2023-10-05 08:01:04,2023-10-05 08:01:04,0.343s,PASSED
"setText(findTestObject(""Edit Data konsumen/ganti password/input_Ganti Password""), password)",Firefox 117.0,,,2023-10-05 08:01:04,2023-10-05 08:01:11,7.603s,PASSED
"setText(findTestObject(""Edit Data konsumen/input_Nama Lengkap""), nama_lengkap)",Firefox 117.0,,,2023-10-05 08:01:11,2023-10-05 08:01:12,0.864s,PASSED
"setText(findTestObject(""Edit Data konsumen/Input Alamat email/input Alamat Email""), email)",Firefox 117.0,,,2023-10-05 08:01:12,2023-10-05 08:01:13,0.862s,PASSED
"setText(findTestObject(""Edit Data konsumen/Input no Hp/input No Hp""), no_hp)",Firefox 117.0,,,2023-10-05 08:01:13,2023-10-05 08:01:14,0.965s,PASSED
"uploadFile(findTestObject(""upload foto/input_Ganti Foto_gg""), foto)",Firefox 117.0,,,2023-10-05 08:01:14,2023-10-05 08:01:15,0.352s,PASSED
"if (toString().equalsIgnoreCase(""Laki-laki""))",Firefox 117.0,,,2023-10-05 08:01:15,2023-10-05 08:01:15,0.346s,PASSED
"setText(findTestObject(""Edit Data konsumen/input tanggal lahir/input_Tanggal Lahir""), tanggal_lahir)",Firefox 117.0,,,2023-10-05 08:01:15,2023-10-05 08:01:16,0.920s,PASSED
"setText(findTestObject(""Edit Data konsumen/Alamat/input_Alamat""), Alamat)",Firefox 117.0,,,2023-10-05 08:01:16,2023-10-05 08:01:17,0.744s,PASSED
"click(findTestObject(""Edit Data konsumen/button_Update""))",Firefox 117.0,,,2023-10-05 08:01:17,2023-10-05 08:01:18,1.568s,PASSED
"verifyElementPresent(findTestObject(""Edit Data konsumen/Ttitle Detail Data Konsumen""), 0)",Firefox 117.0,,,2023-10-05 08:01:18,2023-10-05 08:01:22,4.278s,PASSED
"nama = getText(findTestObject(""hasil edit konsumen/hasil edit nama""))",Firefox 117.0,,,2023-10-05 08:01:22,2023-10-05 08:01:23,0.701s,PASSED
"emaill = getText(findTestObject(""hasil edit konsumen/hasil edit email""))",Firefox 117.0,,,2023-10-05 08:01:23,2023-10-05 08:01:24,0.661s,PASSED
"nomorHp = getText(findTestObject(""hasil edit konsumen/hasil edit no_hp""))",Firefox 117.0,,,2023-10-05 08:01:24,2023-10-05 08:01:24,0.337s,PASSED
"jenis_kelamin = getText(findTestObject(""Edit Data konsumen/Jenis_Kelamin/Hasil edit Jenis_kelamin""))",Firefox 117.0,,,2023-10-05 08:01:24,2023-10-05 08:01:25,0.692s,PASSED
"tgl_lahir_show = getText(findTestObject(""hasil edit konsumen/hasil edit tgl_lahir""))",Firefox 117.0,,,2023-10-05 08:01:25,2023-10-05 08:01:25,0.345s,PASSED
"alamat = getText(findTestObject(""hasil edit konsumen/hasil edit alamat""))",Firefox 117.0,,,2023-10-05 08:01:25,2023-10-05 08:01:25,0.320s,PASSED
"foto1 = getAttribute(findTestObject(""Object Repository/Edit Data konsumen/Edit foto/hasil edit foto""), ""src"").split(""/"")",Firefox 117.0,,,2023-10-05 08:01:25,2023-10-05 08:01:26,0.351s,PASSED
println(foto1),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.002s,PASSED
"fotoUrl = size() - 1].replace("".png"", """")",Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
println(fotoUrl),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
"foto_sebelumEdit = foto.split(""\\"")",Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
println(foto_sebelumEdit),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
"urlfoto = size() - 1].replace("".png"", """")",Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
println(urlfoto),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.008s,PASSED
assert fotoUrl.contains(urlfoto),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.001s,PASSED
sdf = new java.text.SimpleDateFormat(yyyy-MM-dd),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.011s,PASSED
parsedDate = null,Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
SentDate = tanggal_lahir,Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
parsedDate = sdf.parse(SentDate),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
print = new java.text.SimpleDateFormat(dd MMM yyyy),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
tanggal_lahir = print.format(parsedDate),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
assert trim().equalsIgnoreCase(nama.trim()),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
assert trim().equalsIgnoreCase(emaill.trim()),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
assert trim().equalsIgnoreCase(nomorHp.trim()),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.009s,PASSED
assert trim().equalsIgnoreCase(jenis_kelamin.trim()),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.001s,PASSED
assert trim().equalsIgnoreCase(tgl_lahir_show.trim()),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
assert trim().equalsIgnoreCase(alamat.trim()),Firefox 117.0,,,2023-10-05 08:01:26,2023-10-05 08:01:26,0.000s,PASSED
