Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"T13 Pembelian, Shipment dan Pembayaran",Edge Chromium 117,,,2023-10-05 14:41:20,2023-10-05 15:44:10,1h - 2m - 50.877s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/LU-001",Edge Chromium 117,User Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-05 14:41:20,2023-10-05 14:41:35,14.928s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-05 14:41:20,2023-10-05 14:41:28,7.575s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-05 14:41:28,2023-10-05 14:41:28,0.199s,PASSED
"verifyElementPresent(findTestObject(""Login/Home""), 0)",Edge Chromium 117,,,2023-10-05 14:41:28,2023-10-05 14:41:29,0.853s,PASSED
"click(findTestObject(""Login/a_Login""))",Edge Chromium 117,,,2023-10-05 14:41:29,2023-10-05 14:41:30,0.494s,PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Edge Chromium 117,,,2023-10-05 14:41:30,2023-10-05 14:41:30,0.596s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), username)",Edge Chromium 117,,,2023-10-05 14:41:30,2023-10-05 14:41:31,0.867s,PASSED
"setText(findTestObject(""Login/input_Password_b""), password)",Edge Chromium 117,,,2023-10-05 14:41:31,2023-10-05 14:41:32,1.049s,PASSED
"click(findTestObject(""Login/label_Ingat saya""))",Edge Chromium 117,,,2023-10-05 14:41:32,2023-10-05 14:41:33,0.537s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Edge Chromium 117,,,2023-10-05 14:41:33,2023-10-05 14:41:34,1.607s,PASSED
"verifyElementPresent(findTestObject(""Login/li_Profile""), 0)",Edge Chromium 117,,,2023-10-05 14:41:34,2023-10-05 14:41:35,0.596s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-001",Edge Chromium 117,User menambahkan product ke keranjang,,2023-10-05 14:41:35,2023-10-05 14:41:57,21.816s,PASSED
"callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 14:41:35,2023-10-05 14:41:49,13.927s,PASSED
"mouseOver(findTestObject(""beli barang/i_Mulai Belanja_icon-menu""))",Edge Chromium 117,,,2023-10-05 14:41:49,2023-10-05 14:41:50,0.599s,PASSED
"click(findTestObject(""beli barang/a_Fashion  Busana Wanita""))",Edge Chromium 117,,,2023-10-05 14:41:50,2023-10-05 14:41:51,1.229s,PASSED
"NamaSebelum = getText(findTestObject(""verifikasi/Nama sebelum""))",Edge Chromium 117,,,2023-10-05 14:41:51,2023-10-05 14:41:52,0.626s,PASSED
"HargaSebelum = getText(findTestObject(""verifikasi/Harga sebelum""))",Edge Chromium 117,,,2023-10-05 14:41:52,2023-10-05 14:41:52,0.394s,PASSED
"mouseOver(findTestObject(""beli barang/barang mouse over""))",Edge Chromium 117,,,2023-10-05 14:41:52,2023-10-05 14:41:53,0.697s,PASSED
"click(findTestObject(""beli barang/buttom add to cart""))",Edge Chromium 117,,,2023-10-05 14:41:53,2023-10-05 14:41:54,1.405s,PASSED
"NamaSesudah = getText(findTestObject(""verifikasi/Nama sesudah""))",Edge Chromium 117,,,2023-10-05 14:41:54,2023-10-05 14:41:55,0.599s,PASSED
"HargaSesudah = getText(findTestObject(""verifikasi/Harga sesudah""))",Edge Chromium 117,,,2023-10-05 14:41:55,2023-10-05 14:41:55,0.409s,PASSED
assert NamaSesudah.contains(NamaSebelum),Edge Chromium 117,,,2023-10-05 14:41:55,2023-10-05 14:41:55,0.003s,PASSED
assert HargaSesudah.contains(HargaSebelum),Edge Chromium 117,,,2023-10-05 14:41:55,2023-10-05 14:41:55,0.001s,PASSED
"click(findTestObject(""beli barang/Tambah Keranjang busana wanita""))",Edge Chromium 117,,,2023-10-05 14:41:55,2023-10-05 14:41:56,0.443s,PASSED
"verifyElementPresent(findTestObject(""checkout/Notifikasi keranjang""), 1)",Edge Chromium 117,,,2023-10-05 14:41:56,2023-10-05 14:41:57,1.047s,PASSED
data = new java.util.HashMap(),Edge Chromium 117,,,2023-10-05 14:41:57,2023-10-05 14:41:57,0.000s,PASSED
"data.put(""nama_barang"", NamaSesudah)",Edge Chromium 117,,,2023-10-05 14:41:57,2023-10-05 14:41:57,0.000s,PASSED
"data.put(""price_barang"", HargaSesudah)",Edge Chromium 117,,,2023-10-05 14:41:57,2023-10-05 14:41:57,0.000s,PASSED
return data,Edge Chromium 117,,,2023-10-05 14:41:57,2023-10-05 14:41:57,0.000s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-002",Edge Chromium 117,"User dapat mengakses halaman keranjang setelah ""tambahkan ke troli"" 1 produk",,2023-10-05 14:41:57,2023-10-05 14:42:23,26.834s,PASSED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 14:41:57,2023-10-05 14:42:17,19.646s,PASSED
"mouseOver(findTestObject(""beli barang/keranjang""))",Edge Chromium 117,,,2023-10-05 14:42:17,2023-10-05 14:42:17,0.579s,PASSED
"click(findTestObject(""beli barang/Lihat Sekarang""))",Edge Chromium 117,,,2023-10-05 14:42:17,2023-10-05 14:42:18,1.009s,PASSED
"verifyElementPresent(findTestObject(""keranjang/li_Keranjang Belanja""), 0)",Edge Chromium 117,,,2023-10-05 14:42:18,2023-10-05 14:42:20,1.255s,PASSED
"NamaKeranjang = getText(findTestObject(""verifikasi/Nama keranjang""))",Edge Chromium 117,,,2023-10-05 14:42:20,2023-10-05 14:42:20,0.376s,PASSED
"HargaKeranjang = getText(findTestObject(""verifikasi/Harga Keranjang""))",Edge Chromium 117,,,2023-10-05 14:42:20,2023-10-05 14:42:20,0.370s,PASSED
"if (toString().equalsIgnoreCase(""Merah""))",Edge Chromium 117,,,2023-10-05 14:42:20,2023-10-05 14:42:21,0.482s,PASSED
"if (toString().equalsIgnoreCase(""Menengah""))",Edge Chromium 117,,,2023-10-05 14:42:21,2023-10-05 14:42:21,0.432s,PASSED
"data.put(""Warna"", warna)",Edge Chromium 117,,,2023-10-05 14:42:21,2023-10-05 14:42:21,0.001s,PASSED
"data.put(""Ukuran"", ukuran)",Edge Chromium 117,,,2023-10-05 14:42:21,2023-10-05 14:42:21,0.000s,PASSED
"click(findTestObject(""keranjang/button_Lanjut ke Pembayaran""))",Edge Chromium 117,,,2023-10-05 14:42:21,2023-10-05 14:42:23,1.550s,PASSED
"verifyElementPresent(findTestObject(""checkout/Tittle Checkout Order""), 0)",Edge Chromium 117,,,2023-10-05 14:42:23,2023-10-05 14:42:23,0.698s,PASSED
"name_product = data.get(""nama_barang"")",Edge Chromium 117,,,2023-10-05 14:42:23,2023-10-05 14:42:23,0.002s,PASSED
"price_product = data.get(""price_barang"")",Edge Chromium 117,,,2023-10-05 14:42:23,2023-10-05 14:42:23,0.000s,PASSED
assert name_product == NamaKeranjang,Edge Chromium 117,,,2023-10-05 14:42:23,2023-10-05 14:42:23,0.000s,PASSED
assert price_product == HargaKeranjang,Edge Chromium 117,,,2023-10-05 14:42:23,2023-10-05 14:42:23,0.001s,PASSED
return data,Edge Chromium 117,,,2023-10-05 14:42:23,2023-10-05 14:42:23,0.000s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-003",Edge Chromium 117,User tidak pilih warna dan ukuran pada produk yang dibeli,,2023-10-05 14:42:23,2023-10-05 14:42:54,30.759s,FAILED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 14:42:24,2023-10-05 14:42:45,21.082s,PASSED
"mouseOver(findTestObject(""beli barang/keranjang""))",Edge Chromium 117,,,2023-10-05 14:42:45,2023-10-05 14:42:46,0.539s,PASSED
"click(findTestObject(""beli barang/Lihat Sekarang""))",Edge Chromium 117,,,2023-10-05 14:42:46,2023-10-05 14:42:47,1.340s,PASSED
"verifyElementPresent(findTestObject(""keranjang/li_Keranjang Belanja""), 0)",Edge Chromium 117,,,2023-10-05 14:42:47,2023-10-05 14:42:48,1.051s,PASSED
"click(findTestObject(""keranjang/button_Lanjut ke Pembayaran""))",Edge Chromium 117,,,2023-10-05 14:42:48,2023-10-05 14:42:50,1.689s,PASSED
"mouseOver(findTestObject(""beli barang/keranjang""))",Edge Chromium 117,,,2023-10-05 14:42:50,2023-10-05 14:42:50,0.699s,PASSED
"click(findTestObject(""hapus barang/buttom x""))",Edge Chromium 117,,,2023-10-05 14:42:50,2023-10-05 14:42:51,0.417s,PASSED
"click(findTestObject(""hapus barang/button_Hapus Barang""))",Edge Chromium 117,,,2023-10-05 14:42:51,2023-10-05 14:42:52,0.780s,PASSED
"verifyTextPresent(""Silakan pilih warna dan ukuran produk"", false)",Edge Chromium 117,,,2023-10-05 14:42:52,2023-10-05 14:42:54,2.739s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-004",Edge Chromium 117,User melakukan Checkout menggunakan metode pembayaran Transfer Bank,,2023-10-05 14:42:54,2023-10-05 14:43:38,44.032s,PASSED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-002""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 14:42:55,2023-10-05 14:43:22,27.413s,PASSED
"warnaa = getText(findTestObject(""verifikasi/warna Merah""))",Edge Chromium 117,,,2023-10-05 14:43:22,2023-10-05 14:43:23,0.362s,PASSED
"ukurann = getText(findTestObject(""verifikasi/Ukuran Menengah""))",Edge Chromium 117,,,2023-10-05 14:43:23,2023-10-05 14:43:23,0.384s,PASSED
"warna1 = data.get(""Warna"")",Edge Chromium 117,,,2023-10-05 14:43:23,2023-10-05 14:43:23,0.000s,PASSED
"ukuran1 = data.get(""Ukuran"")",Edge Chromium 117,,,2023-10-05 14:43:23,2023-10-05 14:43:23,0.000s,PASSED
assert warnaa == warna1,Edge Chromium 117,,,2023-10-05 14:43:23,2023-10-05 14:43:23,0.000s,PASSED
assert ukurann == ukuran1,Edge Chromium 117,,,2023-10-05 14:43:23,2023-10-05 14:43:23,0.000s,PASSED
"NamaCheckout = getText(findTestObject(""verifikasi/NamaCheckout""))",Edge Chromium 117,,,2023-10-05 14:43:23,2023-10-05 14:43:23,0.368s,PASSED
"HargaCheckout = getText(findTestObject(""verifikasi/HargaCheckout""))",Edge Chromium 117,,,2023-10-05 14:43:23,2023-10-05 14:43:24,0.366s,PASSED
"name_product = data.get(""nama_barang"")",Edge Chromium 117,,,2023-10-05 14:43:24,2023-10-05 14:43:24,0.000s,PASSED
