Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"T13 Pembelian, Shipment dan Pembayaran",Edge Chromium 117,,,2023-10-05 08:49:37,2023-10-05 09:38:16,48m - 39.270s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/LU-001",Edge Chromium 117,User Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-05 08:49:37,2023-10-05 08:49:51,13.754s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-05 08:49:38,2023-10-05 08:49:45,6.938s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-05 08:49:45,2023-10-05 08:49:45,0.168s,PASSED
"verifyElementPresent(findTestObject(""Login/Home""), 0)",Edge Chromium 117,,,2023-10-05 08:49:45,2023-10-05 08:49:46,0.816s,PASSED
"click(findTestObject(""Login/a_Login""))",Edge Chromium 117,,,2023-10-05 08:49:46,2023-10-05 08:49:46,0.510s,PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Edge Chromium 117,,,2023-10-05 08:49:46,2023-10-05 08:49:47,0.633s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), username)",Edge Chromium 117,,,2023-10-05 08:49:47,2023-10-05 08:49:48,0.823s,PASSED
"setText(findTestObject(""Login/input_Password_b""), password)",Edge Chromium 117,,,2023-10-05 08:49:48,2023-10-05 08:49:49,0.896s,PASSED
"click(findTestObject(""Login/label_Ingat saya""))",Edge Chromium 117,,,2023-10-05 08:49:49,2023-10-05 08:49:49,0.444s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Edge Chromium 117,,,2023-10-05 08:49:49,2023-10-05 08:49:50,1.276s,PASSED
"verifyElementPresent(findTestObject(""Login/li_Profile""), 0)",Edge Chromium 117,,,2023-10-05 08:49:50,2023-10-05 08:49:51,0.721s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-001",Edge Chromium 117,User menambahkan product ke keranjang,,2023-10-05 08:49:51,2023-10-05 08:50:12,21.350s,PASSED
"callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 08:49:52,2023-10-05 08:50:05,13.609s,PASSED
"mouseOver(findTestObject(""beli barang/i_Mulai Belanja_icon-menu""))",Edge Chromium 117,,,2023-10-05 08:50:05,2023-10-05 08:50:06,0.599s,PASSED
"click(findTestObject(""beli barang/a_Fashion  Busana Wanita""))",Edge Chromium 117,,,2023-10-05 08:50:06,2023-10-05 08:50:07,1.204s,PASSED
"NamaSebelum = getText(findTestObject(""verifikasi/Nama sebelum""))",Edge Chromium 117,,,2023-10-05 08:50:07,2023-10-05 08:50:08,0.607s,PASSED
"HargaSebelum = getText(findTestObject(""verifikasi/Harga sebelum""))",Edge Chromium 117,,,2023-10-05 08:50:08,2023-10-05 08:50:08,0.381s,PASSED
"mouseOver(findTestObject(""beli barang/barang mouse over""))",Edge Chromium 117,,,2023-10-05 08:50:08,2023-10-05 08:50:09,0.701s,PASSED
"click(findTestObject(""beli barang/buttom add to cart""))",Edge Chromium 117,,,2023-10-05 08:50:09,2023-10-05 08:50:10,1.463s,PASSED
"NamaSesudah = getText(findTestObject(""verifikasi/Nama sesudah""))",Edge Chromium 117,,,2023-10-05 08:50:10,2023-10-05 08:50:11,0.531s,PASSED
"HargaSesudah = getText(findTestObject(""verifikasi/Harga sesudah""))",Edge Chromium 117,,,2023-10-05 08:50:11,2023-10-05 08:50:11,0.435s,PASSED
assert NamaSesudah.contains(NamaSebelum),Edge Chromium 117,,,2023-10-05 08:50:11,2023-10-05 08:50:11,0.001s,PASSED
assert HargaSesudah.contains(HargaSebelum),Edge Chromium 117,,,2023-10-05 08:50:11,2023-10-05 08:50:11,0.000s,PASSED
"click(findTestObject(""beli barang/Tambah Keranjang busana wanita""))",Edge Chromium 117,,,2023-10-05 08:50:11,2023-10-05 08:50:12,0.425s,PASSED
"verifyElementPresent(findTestObject(""checkout/Notifikasi keranjang""), 1)",Edge Chromium 117,,,2023-10-05 08:50:12,2023-10-05 08:50:12,0.963s,PASSED
data = new java.util.HashMap(),Edge Chromium 117,,,2023-10-05 08:50:12,2023-10-05 08:50:12,0.000s,PASSED
"data.put(""nama_barang"", NamaSesudah)",Edge Chromium 117,,,2023-10-05 08:50:12,2023-10-05 08:50:12,0.000s,PASSED
"data.put(""price_barang"", HargaSesudah)",Edge Chromium 117,,,2023-10-05 08:50:12,2023-10-05 08:50:12,0.001s,PASSED
return data,Edge Chromium 117,,,2023-10-05 08:50:12,2023-10-05 08:50:12,0.000s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-002",Edge Chromium 117,"User dapat mengakses halaman keranjang setelah ""tambahkan ke troli"" 1 produk",,2023-10-05 08:50:12,2023-10-05 08:50:40,27.966s,PASSED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 08:50:13,2023-10-05 08:50:33,20.448s,PASSED
"mouseOver(findTestObject(""beli barang/keranjang""))",Edge Chromium 117,,,2023-10-05 08:50:33,2023-10-05 08:50:34,0.542s,PASSED
"click(findTestObject(""beli barang/Lihat Sekarang""))",Edge Chromium 117,,,2023-10-05 08:50:34,2023-10-05 08:50:35,1.013s,PASSED
"verifyElementPresent(findTestObject(""keranjang/li_Keranjang Belanja""), 0)",Edge Chromium 117,,,2023-10-05 08:50:35,2023-10-05 08:50:36,1.323s,PASSED
"NamaKeranjang = getText(findTestObject(""verifikasi/Nama keranjang""))",Edge Chromium 117,,,2023-10-05 08:50:36,2023-10-05 08:50:37,0.387s,PASSED
"HargaKeranjang = getText(findTestObject(""verifikasi/Harga Keranjang""))",Edge Chromium 117,,,2023-10-05 08:50:37,2023-10-05 08:50:37,0.344s,PASSED
"if (toString().equalsIgnoreCase(""Merah""))",Edge Chromium 117,,,2023-10-05 08:50:37,2023-10-05 08:50:38,0.513s,PASSED
"if (toString().equalsIgnoreCase(""Menengah""))",Edge Chromium 117,,,2023-10-05 08:50:38,2023-10-05 08:50:38,0.510s,PASSED
"data.put(""Warna"", warna)",Edge Chromium 117,,,2023-10-05 08:50:38,2023-10-05 08:50:38,0.000s,PASSED
"data.put(""Ukuran"", ukuran)",Edge Chromium 117,,,2023-10-05 08:50:38,2023-10-05 08:50:38,0.000s,PASSED
"click(findTestObject(""keranjang/button_Lanjut ke Pembayaran""))",Edge Chromium 117,,,2023-10-05 08:50:38,2023-10-05 08:50:40,1.553s,PASSED
"verifyElementPresent(findTestObject(""checkout/Tittle Checkout Order""), 0)",Edge Chromium 117,,,2023-10-05 08:50:40,2023-10-05 08:50:40,0.853s,PASSED
"name_product = data.get(""nama_barang"")",Edge Chromium 117,,,2023-10-05 08:50:40,2023-10-05 08:50:40,0.001s,PASSED
"price_product = data.get(""price_barang"")",Edge Chromium 117,,,2023-10-05 08:50:40,2023-10-05 08:50:40,0.000s,PASSED
