Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"data.put(""nama_barang"", nama)",Edge Chromium 116,,,2023-08-31 10:46:27,2023-08-31 10:46:27,"0,001s",PASSED
"data.put(""deskrispi_barang"", deskripsi)",Edge Chromium 116,,,2023-08-31 10:46:27,2023-08-31 10:46:27,"0,000s",PASSED
"data.put(""price_barang"", price)",Edge Chromium 116,,,2023-08-31 10:46:27,2023-08-31 10:46:27,"0,000s",PASSED
return data,Edge Chromium 116,,,2023-08-31 10:46:27,2023-08-31 10:46:27,"0,000s",PASSED
,,,,,,,
Test Cases/Products/TC-Product-AddCart-002,Edge Chromium 116,User ingin menambahkan 2 product ke dalam keranjang,,2023-08-31 10:46:27,2023-08-31 10:46:40,"12,824s",PASSED
"data = callTestCase(findTestCase(""Products/TC-Product-AddCart-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:46:27,2023-08-31 10:46:37,"10,029s",PASSED
"click(findTestObject(""Products/button_Add to cart 2""))",Edge Chromium 116,,,2023-08-31 10:46:37,2023-08-31 10:46:38,"0,369s",PASSED
"verifyElementPresent(findTestObject(""Products/button_Remove""), 0)",Edge Chromium 116,,,2023-08-31 10:46:38,2023-08-31 10:46:38,"0,536s",PASSED
"verifyElementPresent(findTestObject(""Keranjang/Notifikasi add cart 2""), 2)",Edge Chromium 116,,,2023-08-31 10:46:38,2023-08-31 10:46:39,"0,375s",PASSED
name = text,Edge Chromium 116,,,2023-08-31 10:46:39,2023-08-31 10:46:39,"0,398s",PASSED
desc = text,Edge Chromium 116,,,2023-08-31 10:46:39,2023-08-31 10:46:39,"0,404s",PASSED
price = text,Edge Chromium 116,,,2023-08-31 10:46:39,2023-08-31 10:46:40,"0,363s",PASSED
nameProductList = new java.util.ArrayList(),Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
"nameProductList.add(data.get(""nama_barang""))",Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,001s",PASSED
nameProductList.add(name),Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,001s",PASSED
println(nameProductList.get(0)),Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
descProductList = new java.util.ArrayList(),Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
"descProductList.add(data.get(""deskrispi_barang""))",Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
descProductList.add(desc),Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
priceProductList = new java.util.ArrayList(),Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
"priceProductList.add(data.get(""price_barang""))",Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
priceProductList.add(price),Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
"data.put(""Product_name"", nameProductList)",Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
"data.put(""deskrispi_barang"", descProductList)",Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
"data.put(""price_barang"", priceProductList)",Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
return data,Edge Chromium 116,,,2023-08-31 10:46:40,2023-08-31 10:46:40,"0,000s",PASSED
,,,,,,,
Test Cases/Products/TC-Product-RemoveCart-001,Edge Chromium 116,User meremove barang yang dipilih dari halaman product,,2023-08-31 10:48:48,2023-08-31 10:49:31,"42,568s",FAILED
"callTestCase(findTestCase(""Products/TC-Product-AddCart-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:48:48,2023-08-31 10:48:58,"10,415s",PASSED
"click(findTestObject(""Products/button_Remove""))",Edge Chromium 116,,,2023-08-31 10:48:58,2023-08-31 10:48:59,"0,394s",PASSED
"verifyElementText(findTestObject(""Keranjang/Notifikasi add cart 1""), ""0"")",Edge Chromium 116,,,2023-08-31 10:48:59,2023-08-31 10:49:31,"31,758s",FAILED
,,,,,,,
Test Cases/Products/TC-Product-Show-001,Edge Chromium 116,User can see product in product page,,2023-08-31 10:49:31,2023-08-31 10:49:38,"7,842s",PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:49:31,2023-08-31 10:49:38,"7,841s",PASSED
,,,,,,,
Test Cases/Products/TC-Product-Sort-001,Edge Chromium 116,User ingin mengurutkan nama produk dari A ke Z,,2023-08-31 10:49:38,2023-08-31 10:49:48,"9,826s",PASSED
"callTestCase(findTestCase(""Products/TC-Product-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:49:39,2023-08-31 10:49:47,"8,082s",PASSED
"selectOptionByValue(findTestObject(""Products/select_Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""), ""az"", false)",Edge Chromium 116,,,2023-08-31 10:49:47,2023-08-31 10:49:48,"0,968s",PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Products/Sorting/Sorting Nama products""), 10)",Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,367s",PASSED
arrLastNameOri = [],Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,001s",PASSED
arrLastNameSort = [],Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,000s",PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,047s",PASSED
println(arrLastNameOri),Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,000s",PASSED
println(arrLastNameSort),Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,000s",PASSED
Arrays.sort(arrLastNameSort),Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,018s",PASSED
assert arrLastNameOri == arrLastNameSort,Edge Chromium 116,,,2023-08-31 10:49:48,2023-08-31 10:49:48,"0,000s",PASSED
,,,,,,,
Test Cases/Products/TC-Product-Sort-002,Edge Chromium 116,User ingin mengurutkan product items berurutan nama Z-A (descending),,2023-08-31 10:49:48,2023-08-31 10:49:58,"10,033s",PASSED
"callTestCase(findTestCase(""Products/TC-Product-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:49:49,2023-08-31 10:49:57,"8,119s",PASSED
"selectOptionByValue(findTestObject(""Products/select_Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""), ""za"", false)",Edge Chromium 116,,,2023-08-31 10:49:57,2023-08-31 10:49:58,"0,972s",PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Products/Sorting/Sorting Nama products""), 10)",Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,490s",PASSED
arrLastNameOri = [],Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,000s",PASSED
arrLastNameSort = [],Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,000s",PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,046s",PASSED
println(arrLastNameOri),Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,000s",PASSED
println(arrLastNameSort),Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,000s",PASSED
"Arrays.sort(arrLastNameSort, Collections.reverseOrder())",Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,011s",PASSED
assert arrLastNameOri == arrLastNameSort,Edge Chromium 116,,,2023-08-31 10:49:58,2023-08-31 10:49:58,"0,000s",PASSED
,,,,,,,
Test Cases/Products/TC-Product-Sort-003,Edge Chromium 116,User ingin mengurutkan produk berdasarkan price (low to high),,2023-08-31 10:49:58,2023-08-31 10:50:10,"11,784s",PASSED
"callTestCase(findTestCase(""Products/TC-Product-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:49:59,2023-08-31 10:50:09,"9,962s",PASSED
"selectOptionByValue(findTestObject(""Products/select_Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""), ""lohi"", false)",Edge Chromium 116,,,2023-08-31 10:50:09,2023-08-31 10:50:09,"0,974s",PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Products/Sorting/Sorting harga""), 10)",Edge Chromium 116,,,2023-08-31 10:50:09,2023-08-31 10:50:10,"0,477s",PASSED
arrHargaOri = [],Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:10,"0,000s",PASSED
arrHargaSort = [],Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:10,"0,000s",PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:10,"0,067s",PASSED
println(arrHargaOri),Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:10,"0,000s",PASSED
println(arrHargaSort),Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:10,"0,000s",PASSED
Arrays.sort(arrHargaSort),Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:10,"0,000s",PASSED
assert arrHargaOri == arrHargaSort,Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:10,"0,000s",PASSED
,,,,,,,
Test Cases/Products/TC-Product-Sort-004,Edge Chromium 116,User ingin mengurutkan produk berdasarkan price (high to low),,2023-08-31 10:50:10,2023-08-31 10:50:20,"10,265s",PASSED
"callTestCase(findTestCase(""Products/TC-Product-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:50:10,2023-08-31 10:50:19,"8,495s",PASSED
"selectOptionByValue(findTestObject(""Products/select_Name (A to Z)Name (Z to A)Price (low to high)Price (high to low)""), ""hilo"", false)",Edge Chromium 116,,,2023-08-31 10:50:19,2023-08-31 10:50:20,"0,918s",PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Products/Sorting/Sorting harga""), 10)",Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,496s",PASSED
arrHargaOri = [],Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,001s",PASSED
arrHargaSort = [],Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,000s",PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,049s",PASSED
println(arrHargaOri),Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,000s",PASSED
println(arrHargaSort),Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,000s",PASSED
"Arrays.sort(arrHargaSort, Collections.reverseOrder())",Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,000s",PASSED
assert arrHargaOri == arrHargaSort,Edge Chromium 116,,,2023-08-31 10:50:20,2023-08-31 10:50:20,"0,000s",PASSED
,,,,,,,
Test Cases/Detail Products/TC-DetailProduct-AddCart-001,Edge Chromium 116,Test case ketika user ingin menambahkan product ke keranjang,,2023-08-31 10:50:20,2023-08-31 10:50:33,"12,546s",PASSED
"callTestCase(findTestCase(""Detail Products/TC-DetailProduct-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:50:21,2023-08-31 10:50:32,"11,401s",PASSED
"click(findTestObject(""Products/button_Add to cart 1""))",Edge Chromium 116,,,2023-08-31 10:50:32,2023-08-31 10:50:32,"0,401s",PASSED
"verifyElementPresent(findTestObject(""Keranjang/Notifikasi add cart 1""), 1)",Edge Chromium 116,,,2023-08-31 10:50:32,2023-08-31 10:50:33,"0,477s",PASSED
,,,,,,,
Test Cases/Detail Products/TC-DetailProduct-Nav-001,Edge Chromium 116,User ingin kembali ke halaman produk,,2023-08-31 10:50:33,2023-08-31 10:50:44,"10,917s",PASSED
"callTestCase(findTestCase(""Detail Products/TC-DetailProduct-Show-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:50:33,2023-08-31 10:50:43,"9,743s",PASSED
"click(findTestObject(""Products/button_Back to products""))",Edge Chromium 116,,,2023-08-31 10:50:43,2023-08-31 10:50:43,"0,407s",PASSED
"verifyElementPresent(findTestObject(""Products/Title Products""), 0)",Edge Chromium 116,,,2023-08-31 10:50:43,2023-08-31 10:50:44,"0,509s",PASSED
,,,,,,,
Test Cases/Detail Products/TC-DetailProduct-RemoveCart-001,Edge Chromium 116,User ingin menghapus produk dari troli halaman pada halaman detail produk,,2023-08-31 10:50:44,2023-08-31 10:50:58,"13,802s",PASSED
"callTestCase(findTestCase(""Detail Products/TC-DetailProduct-AddCart-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:50:44,2023-08-31 10:50:57,"12,589s",PASSED
"click(findTestObject(""Products/button_Remove""))",Edge Chromium 116,,,2023-08-31 10:50:57,2023-08-31 10:50:57,"0,432s",PASSED
