Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian toko,Edge Chromium 116,,,2023-09-06 08:47:41,2023-09-06 08:54:23,"6m - 41,690s",FAILED
,,,,,,,
Test Cases/T05 Pencarian Toko/TC-Cari Toko administrator-search-001,Edge Chromium 116,admin melakukan search Nama toko (pelapak),,2023-09-06 08:47:42,2023-09-06 08:48:14,"31,950s",PASSED
"callTestCase(findTestCase(""Login/TC-Login Admin-Success-001""), [""Username"":""admin"", ""Password"":""123admin123""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:47:42,2023-09-06 08:48:09,"26,804s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Master Market""))",Edge Chromium 116,,,2023-09-06 08:48:09,2023-09-06 08:48:10,"0,682s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Reseller  Pelapak""))",Edge Chromium 116,,,2023-09-06 08:48:10,2023-09-06 08:48:11,"1,844s",PASSED
"verifyElementPresent(findTestObject(""Menu pencarian Toko admin/Tittle Daftar Semua reseller""), 0)",Edge Chromium 116,,,2023-09-06 08:48:11,2023-09-06 08:48:12,"0,471s",PASSED
"setText(findTestObject(""Menu pencarian Toko admin/input_Search_form""), ""Kerupuk husna"")",Edge Chromium 116,,,2023-09-06 08:48:12,2023-09-06 08:48:13,"1,176s",PASSED
"verifyElementText(findTestObject(""Menu pencarian Toko admin/isi search admin Kerupuk husna""), ""Kerupuk husna"")",Edge Chromium 116,,,2023-09-06 08:48:13,2023-09-06 08:48:14,"0,538s",PASSED
,,,,,,,
Test Cases/T05 Pencarian Toko/TC-Cari Toko administrator-Search-002,Edge Chromium 116,admin Mencari Toko berdasarkan Nama Toko Asal,,2023-09-06 08:48:14,2023-09-06 08:48:46,"32,227s",PASSED
"callTestCase(findTestCase(""Login/TC-Login Admin-Success-001""), [""Username"":""admin"", ""Password"":""123admin123""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:48:14,2023-09-06 08:48:42,"27,879s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Master Market""))",Edge Chromium 116,,,2023-09-06 08:48:42,2023-09-06 08:48:43,"0,623s",PASSED
"click(findTestObject(""Menu pencarian Toko admin/Menu Reseller  Pelapak""))",Edge Chromium 116,,,2023-09-06 08:48:43,2023-09-06 08:48:44,"1,428s",PASSED
"setText(findTestObject(""Menu pencarian Toko admin/input_Search_form""), ""abc12zs"")",Edge Chromium 116,,,2023-09-06 08:48:44,2023-09-06 08:48:45,"1,059s",PASSED
"verifyElementText(findTestObject(""Menu pencarian Toko admin/Massage Error""), ""No matching records found"")",Edge Chromium 116,,,2023-09-06 08:48:45,2023-09-06 08:48:46,"0,499s",PASSED
,,,,,,,
Test Cases/T05 Pencarian Toko/TC-Cari Toko administrator-Search-003,Edge Chromium 116,User Mencari toko tetapi tidak mengisi pada bagian search,,2023-09-06 08:48:46,2023-09-06 08:49:16,"29,913s",FAILED
"callTestCase(findTestCase(""Login/TC-Login Admin-Success-001""), [""Username"":""admin"", ""Password"":""123admin123""], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-09-06 08:48:47,2023-09-06 08:49:11,"24,862s",PASSED
