Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"T13 Pembelian, Shipment dan Pembayaran",Firefox 117.0,,,2023-10-04 19:00:07,2023-10-04 19:57:42,57m - 35.252s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/LU-001",Firefox 117.0,User Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-04 19:00:07,2023-10-04 19:00:19,11.851s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Firefox 117.0,,,2023-10-04 19:00:08,2023-10-04 19:00:13,5.939s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-04 19:00:13,2023-10-04 19:00:14,0.053s,PASSED
"verifyElementPresent(findTestObject(""Login/Home""), 0)",Firefox 117.0,,,2023-10-04 19:00:14,2023-10-04 19:00:14,0.546s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-10-04 19:00:14,2023-10-04 19:00:15,0.631s,PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Firefox 117.0,,,2023-10-04 19:00:15,2023-10-04 19:00:15,0.466s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), username)",Firefox 117.0,,,2023-10-04 19:00:15,2023-10-04 19:00:16,0.677s,PASSED
"setText(findTestObject(""Login/input_Password_b""), password)",Firefox 117.0,,,2023-10-04 19:00:16,2023-10-04 19:00:16,0.627s,PASSED
"click(findTestObject(""Login/label_Ingat saya""))",Firefox 117.0,,,2023-10-04 19:00:16,2023-10-04 19:00:17,0.547s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Firefox 117.0,,,2023-10-04 19:00:17,2023-10-04 19:00:18,1.183s,PASSED
"verifyElementPresent(findTestObject(""Login/li_Profile""), 0)",Firefox 117.0,,,2023-10-04 19:00:18,2023-10-04 19:00:19,0.669s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-001",Firefox 117.0,User menambahkan product ke keranjang,,2023-10-04 19:00:19,2023-10-04 19:00:39,20.314s,PASSED
