Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"T13 Pembelian, Shipment dan Pembayaran",Edge Chromium 117,,,2023-10-05 13:15:59,2023-10-05 14:12:59,56m - 59.931s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/LU-001",Edge Chromium 117,User Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-05 13:16:00,2023-10-05 13:16:13,13.653s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-05 13:16:00,2023-10-05 13:16:07,6.640s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-05 13:16:07,2023-10-05 13:16:07,0.167s,PASSED
"verifyElementPresent(findTestObject(""Login/Home""), 0)",Edge Chromium 117,,,2023-10-05 13:16:07,2023-10-05 13:16:08,0.753s,PASSED
"click(findTestObject(""Login/a_Login""))",Edge Chromium 117,,,2023-10-05 13:16:08,2023-10-05 13:16:08,0.506s,PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Edge Chromium 117,,,2023-10-05 13:16:08,2023-10-05 13:16:09,0.623s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), username)",Edge Chromium 117,,,2023-10-05 13:16:09,2023-10-05 13:16:10,0.858s,PASSED
"setText(findTestObject(""Login/input_Password_b""), password)",Edge Chromium 117,,,2023-10-05 13:16:10,2023-10-05 13:16:11,0.886s,PASSED
"click(findTestObject(""Login/label_Ingat saya""))",Edge Chromium 117,,,2023-10-05 13:16:11,2023-10-05 13:16:11,0.492s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Edge Chromium 117,,,2023-10-05 13:16:11,2023-10-05 13:16:13,1.479s,PASSED
"verifyElementPresent(findTestObject(""Login/li_Profile""), 0)",Edge Chromium 117,,,2023-10-05 13:16:13,2023-10-05 13:16:13,0.717s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-001",Edge Chromium 117,User menambahkan product ke keranjang,,2023-10-05 13:16:13,2023-10-05 13:16:35,21.586s,PASSED
"callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 13:16:14,2023-10-05 13:16:27,13.777s,PASSED
"mouseOver(findTestObject(""beli barang/i_Mulai Belanja_icon-menu""))",Edge Chromium 117,,,2023-10-05 13:16:27,2023-10-05 13:16:28,0.633s,PASSED
"click(findTestObject(""beli barang/a_Fashion  Busana Wanita""))",Edge Chromium 117,,,2023-10-05 13:16:28,2023-10-05 13:16:29,1.209s,PASSED
"NamaSebelum = getText(findTestObject(""verifikasi/Nama sebelum""))",Edge Chromium 117,,,2023-10-05 13:16:29,2023-10-05 13:16:30,0.613s,PASSED
"HargaSebelum = getText(findTestObject(""verifikasi/Harga sebelum""))",Edge Chromium 117,,,2023-10-05 13:16:30,2023-10-05 13:16:30,0.377s,PASSED
"mouseOver(findTestObject(""beli barang/barang mouse over""))",Edge Chromium 117,,,2023-10-05 13:16:30,2023-10-05 13:16:31,0.711s,PASSED
"click(findTestObject(""beli barang/buttom add to cart""))",Edge Chromium 117,,,2023-10-05 13:16:31,2023-10-05 13:16:32,1.436s,PASSED
"NamaSesudah = getText(findTestObject(""verifikasi/Nama sesudah""))",Edge Chromium 117,,,2023-10-05 13:16:32,2023-10-05 13:16:33,0.576s,PASSED
"HargaSesudah = getText(findTestObject(""verifikasi/Harga sesudah""))",Edge Chromium 117,,,2023-10-05 13:16:33,2023-10-05 13:16:33,0.400s,PASSED
assert NamaSesudah.contains(NamaSebelum),Edge Chromium 117,,,2023-10-05 13:16:33,2023-10-05 13:16:33,0.002s,PASSED
assert HargaSesudah.contains(HargaSebelum),Edge Chromium 117,,,2023-10-05 13:16:33,2023-10-05 13:16:33,0.001s,PASSED
"click(findTestObject(""beli barang/Tambah Keranjang busana wanita""))",Edge Chromium 117,,,2023-10-05 13:16:33,2023-10-05 13:16:34,0.505s,PASSED
"verifyElementPresent(findTestObject(""checkout/Notifikasi keranjang""), 1)",Edge Chromium 117,,,2023-10-05 13:16:34,2023-10-05 13:16:35,0.925s,PASSED
data = new java.util.HashMap(),Edge Chromium 117,,,2023-10-05 13:16:35,2023-10-05 13:16:35,0.001s,PASSED
"data.put(""nama_barang"", NamaSesudah)",Edge Chromium 117,,,2023-10-05 13:16:35,2023-10-05 13:16:35,0.000s,PASSED
"data.put(""price_barang"", HargaSesudah)",Edge Chromium 117,,,2023-10-05 13:16:35,2023-10-05 13:16:35,0.000s,PASSED
return data,Edge Chromium 117,,,2023-10-05 13:16:35,2023-10-05 13:16:35,0.000s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-002",Edge Chromium 117,"User dapat mengakses halaman keranjang setelah ""tambahkan ke troli"" 1 produk",,2023-10-05 13:16:35,2023-10-05 13:17:04,29.408s,PASSED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 13:16:35,2023-10-05 13:16:57,22.126s,PASSED
"mouseOver(findTestObject(""beli barang/keranjang""))",Edge Chromium 117,,,2023-10-05 13:16:57,2023-10-05 13:16:58,0.541s,PASSED
"click(findTestObject(""beli barang/Lihat Sekarang""))",Edge Chromium 117,,,2023-10-05 13:16:58,2023-10-05 13:16:59,0.933s,PASSED
"verifyElementPresent(findTestObject(""keranjang/li_Keranjang Belanja""), 0)",Edge Chromium 117,,,2023-10-05 13:16:59,2023-10-05 13:17:00,1.307s,PASSED
"NamaKeranjang = getText(findTestObject(""verifikasi/Nama keranjang""))",Edge Chromium 117,,,2023-10-05 13:17:00,2023-10-05 13:17:01,0.432s,PASSED
"HargaKeranjang = getText(findTestObject(""verifikasi/Harga Keranjang""))",Edge Chromium 117,,,2023-10-05 13:17:01,2023-10-05 13:17:01,0.382s,PASSED
"if (toString().equalsIgnoreCase(""Merah""))",Edge Chromium 117,,,2023-10-05 13:17:01,2023-10-05 13:17:01,0.480s,PASSED
"if (toString().equalsIgnoreCase(""Menengah""))",Edge Chromium 117,,,2023-10-05 13:17:01,2023-10-05 13:17:02,0.419s,PASSED
"data.put(""Warna"", warna)",Edge Chromium 117,,,2023-10-05 13:17:02,2023-10-05 13:17:02,0.000s,PASSED
"data.put(""Ukuran"", ukuran)",Edge Chromium 117,,,2023-10-05 13:17:02,2023-10-05 13:17:02,0.001s,PASSED
"click(findTestObject(""keranjang/button_Lanjut ke Pembayaran""))",Edge Chromium 117,,,2023-10-05 13:17:02,2023-10-05 13:17:03,1.494s,PASSED
"verifyElementPresent(findTestObject(""checkout/Tittle Checkout Order""), 0)",Edge Chromium 117,,,2023-10-05 13:17:03,2023-10-05 13:17:04,0.853s,PASSED
"name_product = data.get(""nama_barang"")",Edge Chromium 117,,,2023-10-05 13:17:04,2023-10-05 13:17:04,0.001s,PASSED
"price_product = data.get(""price_barang"")",Edge Chromium 117,,,2023-10-05 13:17:04,2023-10-05 13:17:04,0.000s,PASSED
assert name_product == NamaKeranjang,Edge Chromium 117,,,2023-10-05 13:17:04,2023-10-05 13:17:04,0.000s,PASSED
assert price_product == HargaKeranjang,Edge Chromium 117,,,2023-10-05 13:17:04,2023-10-05 13:17:04,0.001s,PASSED
return data,Edge Chromium 117,,,2023-10-05 13:17:04,2023-10-05 13:17:04,0.000s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-003",Edge Chromium 117,User tidak pilih warna dan ukuran pada produk yang dibeli,,2023-10-05 13:17:04,2023-10-05 13:17:35,30.435s,FAILED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 13:17:05,2023-10-05 13:17:25,20.753s,PASSED
"mouseOver(findTestObject(""beli barang/keranjang""))",Edge Chromium 117,,,2023-10-05 13:17:25,2023-10-05 13:17:26,0.533s,PASSED
"click(findTestObject(""beli barang/Lihat Sekarang""))",Edge Chromium 117,,,2023-10-05 13:17:26,2023-10-05 13:17:27,1.034s,PASSED
"verifyElementPresent(findTestObject(""keranjang/li_Keranjang Belanja""), 0)",Edge Chromium 117,,,2023-10-05 13:17:27,2023-10-05 13:17:28,1.335s,PASSED
"click(findTestObject(""keranjang/button_Lanjut ke Pembayaran""))",Edge Chromium 117,,,2023-10-05 13:17:28,2023-10-05 13:17:30,1.472s,PASSED
"mouseOver(findTestObject(""beli barang/keranjang""))",Edge Chromium 117,,,2023-10-05 13:17:30,2023-10-05 13:17:31,0.886s,PASSED
"click(findTestObject(""hapus barang/buttom x""))",Edge Chromium 117,,,2023-10-05 13:17:31,2023-10-05 13:17:31,0.595s,PASSED
"click(findTestObject(""hapus barang/button_Hapus Barang""))",Edge Chromium 117,,,2023-10-05 13:17:31,2023-10-05 13:17:32,0.781s,PASSED
"verifyTextPresent(""Silakan pilih warna dan ukuran produk"", false)",Edge Chromium 117,,,2023-10-05 13:17:32,2023-10-05 13:17:35,2.657s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-004",Edge Chromium 117,User melakukan Checkout menggunakan metode pembayaran Transfer Bank,,2023-10-05 13:17:35,2023-10-05 13:18:19,44.343s,PASSED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-002""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 13:17:35,2023-10-05 13:18:03,27.988s,PASSED
"warnaa = getText(findTestObject(""verifikasi/warna Merah""))",Edge Chromium 117,,,2023-10-05 13:18:03,2023-10-05 13:18:04,0.440s,PASSED
"ukurann = getText(findTestObject(""verifikasi/Ukuran Menengah""))",Edge Chromium 117,,,2023-10-05 13:18:04,2023-10-05 13:18:04,0.534s,PASSED
"warna1 = data.get(""Warna"")",Edge Chromium 117,,,2023-10-05 13:18:04,2023-10-05 13:18:04,0.001s,PASSED
"ukuran1 = data.get(""Ukuran"")",Edge Chromium 117,,,2023-10-05 13:18:04,2023-10-05 13:18:04,0.000s,PASSED
assert warnaa == warna1,Edge Chromium 117,,,2023-10-05 13:18:04,2023-10-05 13:18:04,0.000s,PASSED
assert ukurann == ukuran1,Edge Chromium 117,,,2023-10-05 13:18:04,2023-10-05 13:18:04,0.000s,PASSED
"NamaCheckout = getText(findTestObject(""verifikasi/NamaCheckout""))",Edge Chromium 117,,,2023-10-05 13:18:04,2023-10-05 13:18:05,0.392s,PASSED
"HargaCheckout = getText(findTestObject(""verifikasi/HargaCheckout""))",Edge Chromium 117,,,2023-10-05 13:18:05,2023-10-05 13:18:05,0.398s,PASSED
"name_product = data.get(""nama_barang"")",Edge Chromium 117,,,2023-10-05 13:18:05,2023-10-05 13:18:05,0.000s,PASSED
"price_product = data.get(""price_barang"")",Edge Chromium 117,,,2023-10-05 13:18:05,2023-10-05 13:18:05,0.001s,PASSED
assert name_product.contains(NamaCheckout),Edge Chromium 117,,,2023-10-05 13:18:05,2023-10-05 13:18:05,0.000s,PASSED
assert price_product.contains(HargaCheckout),Edge Chromium 117,,,2023-10-05 13:18:05,2023-10-05 13:18:05,0.000s,PASSED
"selectOptionByLabel(findTestObject(""checkout/select - Kirim via Kurir Lokal""), Kurir, false)",Edge Chromium 117,,,2023-10-05 13:18:05,2023-10-05 13:18:06,0.826s,PASSED
"click(findTestObject(""checkout/Kendaraan Kurir""))",Edge Chromium 117,,,2023-10-05 13:18:06,2023-10-05 13:18:07,0.745s,PASSED
"OngkosKirim = getText(findTestObject(""Object Repository/verifikasi/Ongkos Kirim checkout""))",Edge Chromium 117,,,2023-10-05 13:18:07,2023-10-05 13:18:07,0.495s,PASSED
"Ongkos = OngkosKirim.substring(3, OngkosKirim.size())",Edge Chromium 117,,,2023-10-05 13:18:07,2023-10-05 13:18:07,0.001s,PASSED
"rep = Ongkos.replace("","", ""."")",Edge Chromium 117,,,2023-10-05 13:18:07,2023-10-05 13:18:07,0.001s,PASSED
Ongkos_kirim = Double.parseDouble(rep),Edge Chromium 117,,,2023-10-05 13:18:07,2023-10-05 13:18:07,0.006s,PASSED
println(Ongkos_kirim),Edge Chromium 117,,,2023-10-05 13:18:07,2023-10-05 13:18:07,0.002s,PASSED
"FeeAdmin = getText(findTestObject(""verifikasi/Fee Admin checkout""))",Edge Chromium 117,,,2023-10-05 13:18:07,2023-10-05 13:18:08,0.848s,PASSED
"Fee_Admin = FeeAdmin.substring(12, FeeAdmin.size())",Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.000s,PASSED
"fee = Fee_Admin.replace("","", ""."")",Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.000s,PASSED
fee_admin = Double.parseDouble(fee),Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.001s,PASSED
println(fee_admin),Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.000s,PASSED
"Subtotal = getText(findTestObject(""verifikasi/subtotal checkout""))",Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.433s,PASSED
"sub_total = Subtotal.substring(12, Subtotal.size())",Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.000s,PASSED
"sub = sub_total.replace("","", ""."")",Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.000s,PASSED
sub_total = Double.parseDouble(sub),Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.000s,PASSED
println(sub_total),Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:08,0.000s,PASSED
"Total = getText(findTestObject(""verifikasi/Total checkout""))",Edge Chromium 117,,,2023-10-05 13:18:08,2023-10-05 13:18:09,0.361s,PASSED
"totall = Total.substring(3, Total.size())",Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.000s,PASSED
"total = totall.replace("","", ""."")",Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.001s,PASSED
totall = Double.parseDouble(total),Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.000s,PASSED
println(totall),Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.000s,PASSED
Total_Harga = Ongkos_kirim + fee_admin + sub_total,Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.001s,PASSED
println(Total_Harga),Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.000s,PASSED
TotalHarga = Math.round(Total_Harga * 1000) / 1000,Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.016s,PASSED
println(TotalHarga),Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.000s,PASSED
assert totall == TotalHarga,Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.001s,PASSED
"click(findTestObject(""verifikasi/Metode Transfer""))",Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:09,0.423s,PASSED
"click(findTestObject(""checkout/button_Proses Pembayaran""))",Edge Chromium 117,,,2023-10-05 13:18:09,2023-10-05 13:18:18,9.093s,PASSED
"verifyElementPresent(findTestObject(""pembayaran/Tittle nomor invoice""), 0)",Edge Chromium 117,,,2023-10-05 13:18:18,2023-10-05 13:18:19,0.731s,PASSED
return data,Edge Chromium 117,,,2023-10-05 13:18:19,2023-10-05 13:18:19,0.000s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-005",Edge Chromium 117,User melakukan Checkout 1 barang menggunakan metode pembayaran Saldo Akun,,2023-10-05 13:18:19,2023-10-05 13:19:03,44.114s,PASSED
"data = callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/PBL-002""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 13:18:20,2023-10-05 13:18:48,28.371s,PASSED
"warnaa = getText(findTestObject(""verifikasi/warna Merah""))",Edge Chromium 117,,,2023-10-05 13:18:48,2023-10-05 13:18:48,0.370s,PASSED
"ukurann = getText(findTestObject(""verifikasi/Ukuran Menengah""))",Edge Chromium 117,,,2023-10-05 13:18:48,2023-10-05 13:18:49,0.409s,PASSED
"warna1 = data.get(""Warna"")",Edge Chromium 117,,,2023-10-05 13:18:49,2023-10-05 13:18:49,0.000s,PASSED
"ukuran1 = data.get(""Ukuran"")",Edge Chromium 117,,,2023-10-05 13:18:49,2023-10-05 13:18:49,0.001s,PASSED
assert warnaa == warna1,Edge Chromium 117,,,2023-10-05 13:18:49,2023-10-05 13:18:49,0.000s,PASSED
assert ukurann == ukuran1,Edge Chromium 117,,,2023-10-05 13:18:49,2023-10-05 13:18:49,0.000s,PASSED
