Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 jadi kurir,Firefox 117.0,,,2023-10-03 13:50:44,2023-10-03 13:57:28,6m - 43.699s,FAILED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-001,Firefox 117.0,User melihat peryaratan pendaftaran jadi kurir,,2023-10-03 13:50:45,2023-10-03 13:51:01,16.777s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:50:45,2023-10-03 13:50:59,14.547s,PASSED
"click(findTestObject(""Jadi kurir/a_Jadi Kurir""))",Firefox 117.0,,,2023-10-03 13:50:59,2023-10-03 13:51:01,1.104s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:51:01,2023-10-03 13:51:01,0.725s,PASSED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-002,Firefox 117.0,User mendaftar jadi kurir,,2023-10-03 13:51:01,2023-10-03 13:51:33,31.081s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/JK-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:51:03,2023-10-03 13:51:18,15.408s,PASSED
"click(findTestObject(""Jadi kurir/a_Daftar  Edit Data""))",Firefox 117.0,,,2023-10-03 13:51:18,2023-10-03 13:51:19,0.936s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:51:19,2023-10-03 13:51:20,0.729s,PASSED
"selectOptionByLabel(findTestObject(""Jadi kurir/select_- Pilih Kendaraan -Roda 2Roda 4""), Jenis, false)",Firefox 117.0,,,2023-10-03 13:51:20,2023-10-03 13:51:21,0.684s,PASSED
"setText(findTestObject(""Jadi kurir/input_Merek Kendaraan""), Merek_Kendaraan)",Firefox 117.0,,,2023-10-03 13:51:21,2023-10-03 13:51:21,0.670s,PASSED
"setText(findTestObject(""Jadi kurir/input_Plat Nomor""), Plat_Nomor)",Firefox 117.0,,,2023-10-03 13:51:21,2023-10-03 13:51:22,0.658s,PASSED
"setText(findTestObject(""Jadi kurir/textarea_Keterangan""), Keterangan)",Firefox 117.0,,,2023-10-03 13:51:22,2023-10-03 13:51:23,0.786s,PASSED
waitForPageLoad(3),Firefox 117.0,,,2023-10-03 13:51:23,2023-10-03 13:51:23,0.159s,PASSED
delay(2),Firefox 117.0,,,2023-10-03 13:51:23,2023-10-03 13:51:25,2.026s,PASSED
"uploadFile(findTestObject(""Jadi kurir/input_Choose files_uploadFile""), Berkas)",Firefox 117.0,,,2023-10-03 13:51:25,2023-10-03 13:51:25,0.461s,PASSED
delay(3),Firefox 117.0,,,2023-10-03 13:51:25,2023-10-03 13:51:29,3.013s,PASSED
"click(findTestObject(""Jadi kurir/button_Simpan Perubahan""))",Firefox 117.0,,,2023-10-03 13:51:29,2023-10-03 13:51:30,1.262s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:51:30,2023-10-03 13:51:31,0.787s,PASSED
"Hasil_Jenis = getText(findTestObject(""Hasil Edit/div_Roda 4""))",Firefox 117.0,,,2023-10-03 13:51:31,2023-10-03 13:51:31,0.378s,PASSED
"Hasil_Merek = getText(findTestObject(""Hasil Edit/div_toyota supra""))",Firefox 117.0,,,2023-10-03 13:51:31,2023-10-03 13:51:31,0.473s,PASSED
"Hasil_Plat = getText(findTestObject(""Hasil Edit/div_AB 1 S""))",Firefox 117.0,,,2023-10-03 13:51:31,2023-10-03 13:51:32,0.365s,PASSED
