Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
T05 jadi kurir,Firefox 117.0,,,2023-10-03 13:58:52,2023-10-03 14:05:39,6m - 46.972s,FAILED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-001,Firefox 117.0,User melihat peryaratan pendaftaran jadi kurir,,2023-10-03 13:58:53,2023-10-03 13:59:09,16.369s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:58:53,2023-10-03 13:59:07,14.223s,PASSED
"click(findTestObject(""Jadi kurir/a_Jadi Kurir""))",Firefox 117.0,,,2023-10-03 13:59:07,2023-10-03 13:59:08,1.012s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:59:08,2023-10-03 13:59:09,0.715s,PASSED
,,,,,,,
Test Cases/T05 Jadi Kurir/JK-002,Firefox 117.0,User mendaftar jadi kurir,,2023-10-03 13:59:09,2023-10-03 13:59:40,30.813s,PASSED
"callTestCase(findTestCase(""T05 Jadi Kurir/JK-001""), [:], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-03 13:59:11,2023-10-03 13:59:25,14.711s,PASSED
"click(findTestObject(""Jadi kurir/a_Daftar  Edit Data""))",Firefox 117.0,,,2023-10-03 13:59:25,2023-10-03 13:59:26,0.961s,PASSED
"verifyElementPresent(findTestObject(""Jadi kurir/li_Profile Kurir""), 0)",Firefox 117.0,,,2023-10-03 13:59:26,2023-10-03 13:59:27,0.813s,PASSED
"selectOptionByLabel(findTestObject(""Jadi kurir/select_- Pilih Kendaraan -Roda 2Roda 4""), Jenis, false)",Firefox 117.0,,,2023-10-03 13:59:27,2023-10-03 13:59:28,0.922s,PASSED
"setText(findTestObject(""Jadi kurir/input_Merek Kendaraan""), Merek_Kendaraan)",Firefox 117.0,,,2023-10-03 13:59:28,2023-10-03 13:59:29,0.769s,PASSED
"setText(findTestObject(""Jadi kurir/input_Plat Nomor""), Plat_Nomor)",Firefox 117.0,,,2023-10-03 13:59:29,2023-10-03 13:59:29,0.709s,PASSED
"setText(findTestObject(""Jadi kurir/textarea_Keterangan""), Keterangan)",Firefox 117.0,,,2023-10-03 13:59:29,2023-10-03 13:59:30,0.812s,PASSED
waitForPageLoad(3),Firefox 117.0,,,2023-10-03 13:59:30,2023-10-03 13:59:30,0.165s,PASSED
delay(2),Firefox 117.0,,,2023-10-03 13:59:30,2023-10-03 13:59:32,2.030s,PASSED
"uploadFile(findTestObject(""Jadi kurir/input_Choose files_uploadFile""), Berkas)",Firefox 117.0,,,2023-10-03 13:59:32,2023-10-03 13:59:33,0.526s,PASSED
delay(3),Firefox 117.0,,,2023-10-03 13:59:33,2023-10-03 13:59:36,3.010s,PASSED
