Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"T13 Pembelian, Shipment dan Pembayaran",Edge Chromium 117,,,2023-10-05 08:27:51,2023-10-05 08:33:16,5m - 24.390s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/LU-001",Edge Chromium 117,User Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-05 08:27:52,2023-10-05 08:28:05,13.263s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Edge Chromium 117,,,2023-10-05 08:27:52,2023-10-05 08:27:58,5.460s,PASSED
maximizeWindow(),Edge Chromium 117,,,2023-10-05 08:27:58,2023-10-05 08:27:58,0.174s,PASSED
"verifyElementPresent(findTestObject(""Login/Home""), 0)",Edge Chromium 117,,,2023-10-05 08:27:58,2023-10-05 08:27:59,0.764s,PASSED
"click(findTestObject(""Login/a_Login""))",Edge Chromium 117,,,2023-10-05 08:27:59,2023-10-05 08:27:59,0.526s,PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Edge Chromium 117,,,2023-10-05 08:27:59,2023-10-05 08:28:00,0.634s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), username)",Edge Chromium 117,,,2023-10-05 08:28:00,2023-10-05 08:28:01,0.856s,PASSED
"setText(findTestObject(""Login/input_Password_b""), password)",Edge Chromium 117,,,2023-10-05 08:28:01,2023-10-05 08:28:01,0.939s,PASSED
"click(findTestObject(""Login/label_Ingat saya""))",Edge Chromium 117,,,2023-10-05 08:28:01,2023-10-05 08:28:02,0.479s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Edge Chromium 117,,,2023-10-05 08:28:02,2023-10-05 08:28:04,1.835s,PASSED
"verifyElementPresent(findTestObject(""Login/li_Profile""), 0)",Edge Chromium 117,,,2023-10-05 08:28:04,2023-10-05 08:28:05,1.052s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-001",Edge Chromium 117,User menambahkan product ke keranjang,,2023-10-05 08:28:05,2023-10-05 08:28:25,20.079s,PASSED
"callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 08:28:05,2023-10-05 08:28:18,12.326s,PASSED
"mouseOver(findTestObject(""beli barang/i_Mulai Belanja_icon-menu""))",Edge Chromium 117,,,2023-10-05 08:28:18,2023-10-05 08:28:18,0.592s,PASSED
"click(findTestObject(""beli barang/a_Fashion  Busana Wanita""))",Edge Chromium 117,,,2023-10-05 08:28:18,2023-10-05 08:28:19,1.157s,PASSED
"NamaSebelum = getText(findTestObject(""verifikasi/Nama sebelum""))",Edge Chromium 117,,,2023-10-05 08:28:19,2023-10-05 08:28:20,0.601s,PASSED
"HargaSebelum = getText(findTestObject(""verifikasi/Harga sebelum""))",Edge Chromium 117,,,2023-10-05 08:28:20,2023-10-05 08:28:20,0.436s,PASSED
"mouseOver(findTestObject(""beli barang/barang mouse over""))",Edge Chromium 117,,,2023-10-05 08:28:20,2023-10-05 08:28:21,0.708s,PASSED
"click(findTestObject(""beli barang/buttom add to cart""))",Edge Chromium 117,,,2023-10-05 08:28:21,2023-10-05 08:28:23,1.503s,PASSED
"NamaSesudah = getText(findTestObject(""verifikasi/Nama sesudah""))",Edge Chromium 117,,,2023-10-05 08:28:23,2023-10-05 08:28:23,0.593s,PASSED
"HargaSesudah = getText(findTestObject(""verifikasi/Harga sesudah""))",Edge Chromium 117,,,2023-10-05 08:28:23,2023-10-05 08:28:24,0.373s,PASSED
assert NamaSesudah.contains(NamaSebelum),Edge Chromium 117,,,2023-10-05 08:28:24,2023-10-05 08:28:24,0.001s,PASSED
assert HargaSesudah.contains(HargaSebelum),Edge Chromium 117,,,2023-10-05 08:28:24,2023-10-05 08:28:24,0.000s,PASSED
"click(findTestObject(""beli barang/Tambah Keranjang busana wanita""))",Edge Chromium 117,,,2023-10-05 08:28:24,2023-10-05 08:28:24,0.462s,PASSED
