Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"T13 Pembelian, Shipment dan Pembayaran",Firefox 117.0,,,2023-10-04 19:59:12,2023-10-04 20:53:05,53m - 52.759s,FAILED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/LU-001",Firefox 117.0,User Melakukan Login dengan memasukkan Username dan password yang valid,,2023-10-04 19:59:12,2023-10-04 19:59:25,12.454s,PASSED
"openBrowser(""https://10.9.2.63/ecommerce/"")",Firefox 117.0,,,2023-10-04 19:59:13,2023-10-04 19:59:19,6.480s,PASSED
maximizeWindow(),Firefox 117.0,,,2023-10-04 19:59:19,2023-10-04 19:59:19,0.038s,PASSED
"verifyElementPresent(findTestObject(""Login/Home""), 0)",Firefox 117.0,,,2023-10-04 19:59:19,2023-10-04 19:59:20,0.819s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 117.0,,,2023-10-04 19:59:20,2023-10-04 19:59:21,0.637s,PASSED
"verifyElementPresent(findTestObject(""Login/Tittle Login""), 0)",Firefox 117.0,,,2023-10-04 19:59:21,2023-10-04 19:59:21,0.453s,PASSED
"setText(findTestObject(""Login/input_Username, Email atau No. Handphone_a""), username)",Firefox 117.0,,,2023-10-04 19:59:21,2023-10-04 19:59:22,0.684s,PASSED
"setText(findTestObject(""Login/input_Password_b""), password)",Firefox 117.0,,,2023-10-04 19:59:22,2023-10-04 19:59:23,0.618s,PASSED
"click(findTestObject(""Login/label_Ingat saya""))",Firefox 117.0,,,2023-10-04 19:59:23,2023-10-04 19:59:23,0.545s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Firefox 117.0,,,2023-10-04 19:59:23,2023-10-04 19:59:24,0.933s,PASSED
"verifyElementPresent(findTestObject(""Login/li_Profile""), 0)",Firefox 117.0,,,2023-10-04 19:59:24,2023-10-04 19:59:25,0.755s,PASSED
,,,,,,,
"Test Cases/T13 Pembelian, Shipment dan Pembayaran/PBL-001",Firefox 117.0,User menambahkan product ke keranjang,,2023-10-04 19:59:25,2023-10-04 19:59:43,17.984s,PASSED
"callTestCase(findTestCase(""T13 Pembelian, Shipment dan Pembayaran/LU-001""), [""username"":""irfanafandi"", ""password"":""12345irfan""], STOP_ON_FAILURE)",Firefox 117.0,,,2023-10-04 19:59:25,2023-10-04 19:59:36,11.240s,PASSED
"mouseOver(findTestObject(""beli barang/i_Mulai Belanja_icon-menu""))",Firefox 117.0,,,2023-10-04 19:59:36,2023-10-04 19:59:37,0.561s,PASSED
"click(findTestObject(""beli barang/a_Fashion  Busana Wanita""))",Firefox 117.0,,,2023-10-04 19:59:37,2023-10-04 19:59:38,0.944s,PASSED
"NamaSebelum = getText(findTestObject(""verifikasi/Nama sebelum""))",Firefox 117.0,,,2023-10-04 19:59:38,2023-10-04 19:59:39,0.666s,PASSED
"HargaSebelum = getText(findTestObject(""verifikasi/Harga sebelum""))",Firefox 117.0,,,2023-10-04 19:59:39,2023-10-04 19:59:39,0.333s,PASSED
